,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,correct_labels,predicted_labels
40,-117.69,34.08,30.0,4255.0,773.0,2129.0,730.0,4.5185,INLAND,14.25,19.38643148609846
41,-120.04,36.74,14.0,3182.0,730.0,2298.0,721.0,1.6168,INLAND,7.179999999999998,4.669637984121842
42,-117.7,33.62,16.0,9653.0,2000.0,4732.0,1922.0,3.7361,<1H OCEAN,19.72,23.304083143984382
43,-123.21,39.14,39.0,1419.0,262.0,661.0,278.0,3.0,<1H OCEAN,11.46,20.500474327427543
44,-121.81,37.25,20.0,3398.0,771.0,1231.0,744.0,2.0288,<1H OCEAN,35.0,22.910994330421165
45,-118.23,34.1,41.0,1353.0,379.0,1536.0,416.0,2.1687,<1H OCEAN,15.7,14.036159442494831
46,-117.4,33.95,46.0,2189.0,423.0,866.0,389.0,3.1384,INLAND,11.15,18.4301526734712
47,-118.56,34.06,24.0,2332.0,349.0,761.0,325.0,7.3031,<1H OCEAN,50.0001,38.68953904975645
48,-122.44,37.78,52.0,1118.0,279.0,514.0,284.0,2.4196,NEAR BAY,34.62,24.74300156623922
49,-117.85,33.78,23.0,3187.0,870.0,1977.0,852.0,3.3939,<1H OCEAN,21.21,22.426019241935265
50,-122.69,38.36,6.0,5496.0,1374.0,2502.0,1189.0,2.4827,<1H OCEAN,17.75,20.087977861187774
51,-122.13,37.46,35.0,1321.0,300.0,1133.0,287.0,3.7312,NEAR BAY,15.96,19.509949681355344
52,-121.38,38.47,4.0,14418.0,2282.0,6578.0,2140.0,4.5604,INLAND,14.59,15.867769553976906
53,-117.16,32.81,34.0,2275.0,375.0,1021.0,379.0,3.6371,NEAR OCEAN,17.63,21.653646525938548
54,-121.75,37.3,23.0,1801.0,415.0,548.0,393.0,2.5052,<1H OCEAN,13.37,27.66358057898026
55,-118.48,34.15,31.0,2536.0,429.0,990.0,424.0,5.4591,<1H OCEAN,49.55,30.95690541973456
56,-117.25,33.05,16.0,2794.0,476.0,1387.0,442.0,4.3286,NEAR OCEAN,21.34,20.862861327457146
57,-120.9,35.33,16.0,1576.0,287.0,595.0,262.0,3.588,NEAR OCEAN,26.63,26.081723335747597
58,-118.41,34.05,16.0,9728.0,2211.0,3026.0,1899.0,5.8758,<1H OCEAN,50.0001,39.826931984813406
59,-121.45,38.61,34.0,438.0,116.0,263.0,100.0,0.9379,INLAND,6.75,5.066527816807831
60,-118.22,33.96,32.0,2232.0,603.0,2361.0,608.0,2.5966,<1H OCEAN,17.09,15.429028661240658
61,-117.59,33.91,7.0,10223.0,1491.0,5205.0,1509.0,5.4872,INLAND,20.34,19.335677095950842
62,-114.31,34.19,15.0,5612.0,1283.0,1015.0,472.0,1.4936,INLAND,6.690000000000003,2.0513713937652653
63,-118.38,34.15,36.0,2933.0,619.0,1115.0,579.0,4.3036,<1H OCEAN,36.59,29.89828835796526
64,-117.28,33.02,21.0,2736.0,585.0,1251.0,576.0,4.2356,NEAR OCEAN,34.77,25.572109539955015
65,-118.43,33.96,38.0,1104.0,216.0,415.0,163.0,6.1985,<1H OCEAN,42.2,35.185586025882365
66,-118.26,34.06,40.0,637.0,273.0,1150.0,263.0,1.8625,<1H OCEAN,13.13,15.988243028633754
67,-117.93,34.08,36.0,1371.0,246.0,806.0,241.0,4.5078,<1H OCEAN,18.71,21.75030805568574
68,-118.2,33.77,52.0,1375.0,457.0,1089.0,317.0,2.2344,NEAR OCEAN,20.0,19.6995611395443
69,-122.28,37.77,27.0,3997.0,1073.0,1901.0,966.0,3.75,NEAR BAY,24.28,27.46428304660255
70,-121.95,37.29,9.0,1503.0,381.0,715.0,349.0,4.6371,<1H OCEAN,23.43,28.57876239530523
71,-118.32,33.88,37.0,1402.0,254.0,722.0,251.0,6.4781,<1H OCEAN,26.9,32.90715838678424
72,-118.21,33.79,33.0,32.0,18.0,96.0,36.0,4.5938,NEAR OCEAN,11.25,26.809583968743645
73,-118.65,34.21,5.0,5429.0,665.0,2315.0,687.0,9.6465,<1H OCEAN,50.0001,40.579225036856585
74,-117.14,33.18,11.0,5546.0,974.0,2300.0,970.0,3.7109,<1H OCEAN,19.98,21.103452646391194
75,-122.44,37.66,21.0,5108.0,1510.0,3288.0,1405.0,3.1927,NEAR OCEAN,25.26,24.934388916854907
76,-121.97,38.04,38.0,2505.0,554.0,1595.0,498.0,2.5833,INLAND,8.35,13.118867858931042
77,-122.49,37.75,52.0,2226.0,385.0,1177.0,416.0,4.8516,NEAR OCEAN,32.38,28.672607414592143
78,-117.96,34.53,10.0,2907.0,559.0,1681.0,531.0,3.8594,INLAND,14.100000000000001,12.938113435492525
79,-117.1,33.14,7.0,10665.0,2576.0,4917.0,2424.0,2.3171,<1H OCEAN,15.95,20.228225419564552
80,-118.18,34.13,44.0,2734.0,415.0,1057.0,424.0,7.9213,<1H OCEAN,47.78,40.24637256923832
81,-122.19,37.75,36.0,1126.0,263.0,482.0,150.0,1.9167,NEAR BAY,8.28,15.914976933614657
82,-119.35,36.42,18.0,1115.0,193.0,1742.0,176.0,2.7969,INLAND,12.38,0.7068639229313618
83,-118.39,33.87,19.0,3303.0,584.0,1329.0,569.0,7.521,<1H OCEAN,34.04,38.503357925261824
84,-122.66,38.48,16.0,2724.0,593.0,1124.0,586.0,2.825,<1H OCEAN,18.62,21.670844908204224
85,-121.87,37.41,24.0,3308.0,548.0,1891.0,544.0,5.6683,<1H OCEAN,24.87,26.841653478266423
86,-117.95,33.76,29.0,1829.0,366.0,1703.0,343.0,4.1295,<1H OCEAN,18.8,17.969488218051417
87,-118.45,34.22,24.0,3442.0,1168.0,4625.0,1097.0,2.0699,<1H OCEAN,18.3,14.801939353717724
88,-118.43,34.04,52.0,2425.0,435.0,962.0,412.0,5.8587,<1H OCEAN,49.47,35.22417341620356
89,-121.92,37.28,27.0,3028.0,486.0,1284.0,498.0,4.5833,<1H OCEAN,30.88,26.64034966935672
90,-121.96,37.34,42.0,2001.0,402.0,942.0,375.0,4.4453,<1H OCEAN,25.54,28.41178783147274
91,-120.89,39.3,17.0,2282.0,431.0,974.0,371.0,3.5417,INLAND,15.51,9.843175639628997
92,-120.47,37.96,25.0,2505.0,529.0,1145.0,483.0,2.006,INLAND,10.3,8.368826895335099
93,-121.26,37.97,31.0,1189.0,295.0,891.0,292.0,2.5536,INLAND,5.050000000000001,10.21930477312864
94,-118.37,33.81,33.0,5057.0,790.0,2021.0,748.0,6.8553,NEAR OCEAN,48.22,35.88020243759219
95,-123.72,41.09,19.0,1970.0,431.0,1166.0,363.0,1.8208,<1H OCEAN,5.0,7.892097058555194
96,-118.94,34.16,3.0,1170.0,148.0,493.0,142.0,8.0428,<1H OCEAN,50.0001,34.89453695509552
97,-123.41,40.61,17.0,769.0,205.0,301.0,126.0,1.7875,INLAND,5.5,8.897360521216953
98,-118.39,34.19,25.0,3794.0,989.0,2454.0,876.0,2.9982,<1H OCEAN,20.42,19.807535895047103
99,-121.43,38.57,46.0,2443.0,476.0,939.0,457.0,3.5893,INLAND,14.2,19.68414199450025
100,-118.2,33.99,31.0,1186.0,387.0,2087.0,409.0,1.9132,<1H OCEAN,15.46,11.502539389837025
101,-121.28,38.75,52.0,493.0,89.0,189.0,94.0,2.108,INLAND,8.38,12.763975978517966
102,-121.76,38.55,23.0,8800.0,1857.0,6330.0,1832.0,2.065,INLAND,21.94,7.960300874038149
103,-117.29,34.41,11.0,5934.0,1380.0,2756.0,1239.0,1.5758,INLAND,10.83,8.188980272998903
104,-118.15,33.93,42.0,1839.0,346.0,1034.0,339.0,4.9808,<1H OCEAN,21.23,26.468899159357125
105,-118.36,33.96,17.0,3431.0,934.0,2365.0,810.0,3.0393,<1H OCEAN,12.92,19.443826239448153
106,-122.0,37.34,31.0,3344.0,620.0,1604.0,572.0,5.2108,<1H OCEAN,35.15,29.331704079030633
107,-116.99,33.01,11.0,1412.0,185.0,529.0,166.0,7.7517,<1H OCEAN,50.0001,33.78659936224885
108,-116.38,33.74,7.0,17579.0,3479.0,3581.0,1820.0,4.084,INLAND,19.45,21.041082049649283
109,-121.28,38.12,34.0,3268.0,640.0,1906.0,628.0,2.8237,INLAND,11.07,11.277582271257888
110,-120.67,35.3,19.0,1540.0,715.0,1799.0,635.0,0.7025,NEAR OCEAN,50.0001,17.20756773559928
111,-122.28,37.53,34.0,1980.0,385.0,970.0,391.0,5.1207,NEAR OCEAN,31.09,29.862415569355143
112,-120.86,37.77,28.0,1208.0,232.0,535.0,232.0,2.3523,INLAND,9.47,11.163916400157852
113,-122.32,37.55,46.0,1437.0,266.0,607.0,263.0,4.8068,NEAR OCEAN,36.97,31.043803676155857
114,-116.91,32.8,32.0,1943.0,287.0,1081.0,292.0,5.6846,<1H OCEAN,20.88,25.383325101520203
115,-122.04,37.95,33.0,1653.0,334.0,814.0,328.0,3.1406,NEAR BAY,16.31,19.508995224890633
116,-122.71,38.33,13.0,4011.0,936.0,2064.0,914.0,3.6953,<1H OCEAN,15.76,23.660145152336558
117,-118.32,34.03,35.0,3189.0,935.0,2221.0,801.0,2.1046,<1H OCEAN,11.4,18.30979819716862
118,-117.22,33.14,5.0,4576.0,848.0,2314.0,705.0,5.0123,NEAR OCEAN,21.04,22.568054276235046
119,-117.65,33.42,25.0,2174.0,428.0,603.0,352.0,3.3967,NEAR OCEAN,24.94,27.538305558033212
120,-117.18,32.84,30.0,2290.0,523.0,1272.0,472.0,3.5606,NEAR OCEAN,16.51,21.90385270019929
121,-122.49,37.85,38.0,240.0,29.0,63.0,34.0,12.2547,NEAR BAY,50.0001,50.0001
122,-122.24,38.31,38.0,1938.0,301.0,823.0,285.0,6.1089,NEAR BAY,28.08,29.836100037084048
123,-118.05,33.87,18.0,4928.0,773.0,2952.0,754.0,5.8855,<1H OCEAN,31.38,25.22559093914218
124,-122.68,38.48,15.0,1575.0,262.0,716.0,259.0,5.3409,<1H OCEAN,24.46,26.103355324703593
125,-121.98,37.22,46.0,10088.0,1910.0,3728.0,1781.0,5.2321,<1H OCEAN,50.0001,36.84419082003658
126,-117.13,34.39,29.0,2251.0,464.0,855.0,315.0,3.4183,INLAND,10.41,14.628962060763616
127,-119.97,38.94,26.0,1485.0,334.0,406.0,180.0,1.9667,INLAND,8.46,6.673256712607063
128,-122.3,37.88,46.0,1647.0,376.0,854.0,355.0,2.9,NEAR BAY,14.48,21.761694655416957
129,-118.08,34.11,42.0,2628.0,525.0,1494.0,523.0,3.9464,<1H OCEAN,25.72,22.585383647991254
130,-121.92,36.55,52.0,2616.0,483.0,582.0,313.0,3.275,NEAR OCEAN,50.0001,33.92100614733015
131,-117.7,33.61,16.0,2371.0,725.0,1738.0,686.0,3.6484,<1H OCEAN,32.26,22.150334680629875
132,-118.13,34.01,43.0,782.0,207.0,827.0,223.0,3.1538,<1H OCEAN,15.43,17.51386868728416
133,-122.39,37.73,52.0,1070.0,224.0,567.0,207.0,2.8603,NEAR BAY,18.9,21.25891568547602
134,-119.01,35.3,7.0,8596.0,1597.0,4893.0,1520.0,3.9054,INLAND,8.09,14.759351117272265
135,-121.3,37.85,35.0,1034.0,206.0,604.0,192.0,2.2391,INLAND,12.0,9.325895484172317
136,-122.05,37.95,22.0,5175.0,1213.0,2804.0,1091.0,2.85,NEAR BAY,14.46,18.662577731206788
137,-122.41,37.63,35.0,865.0,226.0,602.0,217.0,3.0,NEAR OCEAN,22.91,21.11043712846843
138,-118.47,34.26,34.0,1300.0,289.0,650.0,291.0,3.8875,<1H OCEAN,19.92,24.877476333200477
139,-124.17,40.74,17.0,2026.0,338.0,873.0,313.0,4.0357,NEAR OCEAN,12.89,19.234847623606676
140,-119.77,36.77,38.0,3065.0,658.0,1441.0,625.0,2.0564,INLAND,6.469999999999999,11.716822058712635
141,-118.27,34.11,36.0,1832.0,539.0,934.0,486.0,3.0521,<1H OCEAN,27.66,25.212768378800845
142,-120.41,34.87,32.0,1997.0,317.0,866.0,281.0,5.062,<1H OCEAN,15.89,30.318671360308695
143,-121.1,37.8,35.0,1853.0,331.0,958.0,340.0,3.3578,INLAND,14.9,13.902965310968494
144,-118.14,33.84,45.0,1908.0,361.0,890.0,342.0,4.575,<1H OCEAN,33.6,27.527065150695968
145,-117.24,32.8,18.0,2205.0,661.0,874.0,580.0,3.8018,NEAR OCEAN,11.25,30.708134874494064
146,-118.48,35.14,4.0,8417.0,1657.0,4631.0,1468.0,3.6949,INLAND,11.58,13.152868640124485
147,-121.22,38.4,14.0,2655.0,441.0,1277.0,422.0,4.6989,INLAND,21.38,15.343024312457725
148,-122.32,37.93,40.0,3056.0,489.0,1103.0,481.0,5.1067,NEAR BAY,24.73,30.4962370834565
149,-122.36,40.55,21.0,2500.0,466.0,1428.0,502.0,2.6513,INLAND,11.33,5.076318947190474
150,-118.16,34.2,43.0,1810.0,343.0,988.0,307.0,3.8203,<1H OCEAN,17.6,21.310954459331516
151,-119.98,38.94,23.0,1564.0,298.0,339.0,147.0,4.0417,INLAND,9.93,15.552774493129986
152,-122.02,37.56,23.0,4332.0,857.0,2461.0,829.0,4.3594,NEAR BAY,22.34,22.99629059458794
153,-122.03,37.53,18.0,1746.0,437.0,1268.0,404.0,3.2560000000000002,NEAR BAY,18.33,17.91984941680898
154,-122.16,37.47,44.0,2581.0,437.0,1006.0,414.0,5.397,NEAR BAY,34.17,32.17343333223375
155,-118.26,34.02,39.0,698.0,232.0,1046.0,228.0,2.2356,<1H OCEAN,11.95,14.559280660547234
156,-121.44,37.76,5.0,7264.0,1285.0,3670.0,1146.0,5.0443,INLAND,19.48,18.947403187245335
157,-117.4,34.06,17.0,5451.0,1008.0,3533.0,940.0,3.9191,INLAND,10.16,12.630783129249359
158,-117.6,34.02,16.0,2103.0,348.0,1305.0,356.0,5.2849,INLAND,16.04,17.259155504808458
159,-117.03,32.73,38.0,3174.0,606.0,1557.0,619.0,3.5861,NEAR OCEAN,12.36,22.786892506107396
160,-117.04,32.58,20.0,2029.0,357.0,1497.0,353.0,4.0089,NEAR OCEAN,13.21,17.405055857540994
161,-121.76,36.9,44.0,919.0,309.0,1321.0,301.0,2.0775,<1H OCEAN,12.14,17.01715621653777
162,-118.45,33.96,36.0,2723.0,547.0,1090.0,519.0,6.3267,<1H OCEAN,50.0001,37.13016797156125
163,-118.32,34.06,43.0,2808.0,584.0,1654.0,569.0,4.125,<1H OCEAN,43.68,24.345264587112915
164,-118.16,33.86,26.0,6607.0,1663.0,4066.0,1558.0,2.5068,<1H OCEAN,15.63,19.720081339923087
165,-118.27,34.09,52.0,1079.0,222.0,439.0,201.0,4.625,<1H OCEAN,23.08,30.56438242018752
166,-118.3,34.0,52.0,1686.0,377.0,982.0,356.0,2.0958,<1H OCEAN,11.64,18.050495028200373
167,-122.24,38.14,15.0,8479.0,1759.0,5008.0,1646.0,3.7239999999999998,NEAR BAY,13.16,19.805976940755038
168,-118.2,33.89,40.0,2538.0,564.0,2170.0,541.0,2.7212,<1H OCEAN,10.79,15.98468729582472
169,-118.08,33.88,30.0,1901.0,519.0,2685.0,496.0,3.2639,<1H OCEAN,12.01,15.837577792642318
170,-122.0,36.98,20.0,2502.0,454.0,981.0,399.0,4.3,NEAR OCEAN,27.5,27.113219001111496
171,-122.31,37.57,42.0,3157.0,676.0,1603.0,629.0,3.7422,NEAR OCEAN,29.26,25.975570092960673
172,-118.29,34.05,31.0,2818.0,1252.0,4126.0,1200.0,2.053,<1H OCEAN,22.92,19.682906819472446
173,-122.11,37.05,18.0,3337.0,549.0,1449.0,519.0,5.1412,NEAR OCEAN,31.58,28.398872185104175
174,-118.13,33.8,36.0,1496.0,271.0,743.0,265.0,4.4312,<1H OCEAN,22.6,24.822660077539528
175,-117.95,33.8,34.0,1654.0,285.0,905.0,292.0,4.6389,<1H OCEAN,21.46,23.41406509768589
176,-115.38,32.82,38.0,1892.0,394.0,1175.0,374.0,1.9939,INLAND,6.58,5.994790979700234
177,-118.3,34.05,46.0,1386.0,457.0,1845.0,485.0,2.1414,<1H OCEAN,15.77,16.111712515119912
178,-122.7,38.43,28.0,1585.0,412.0,1362.0,424.0,1.6685,<1H OCEAN,11.41,12.457583937336127
179,-118.2,34.04,36.0,1625.0,490.0,2003.0,478.0,2.181,<1H OCEAN,14.720000000000002,14.093519269792097
180,-117.08,32.77,31.0,1070.0,155.0,426.0,153.0,6.1628,NEAR OCEAN,21.92,30.92773873708546
181,-122.04,37.9,20.0,5467.0,1044.0,2310.0,963.0,5.6986,NEAR BAY,27.58,30.0385005379763
182,-117.78,34.13,18.0,7798.0,1161.0,3710.0,1227.0,5.8819,INLAND,26.05,22.885068244535752
183,-121.81,37.37,26.0,2987.0,539.0,1931.0,518.0,5.1099,<1H OCEAN,21.31,24.4290552052924
184,-118.34,34.08,52.0,1430.0,186.0,547.0,178.0,10.3661,<1H OCEAN,50.0001,49.34691270139432
185,-115.56,32.78,34.0,2856.0,555.0,1627.0,522.0,3.2083,INLAND,7.620000000000003,11.228062855799562
186,-124.19,40.73,21.0,5694.0,1056.0,2907.0,972.0,3.5363,NEAR OCEAN,9.01,17.7935219984281
187,-118.15,34.71,36.0,1338.0,250.0,709.0,250.0,3.5625,INLAND,10.14,15.07842533197057
188,-118.02,33.95,36.0,1681.0,329.0,964.0,311.0,4.1080000000000005,<1H OCEAN,18.12,22.01835589568346
189,-122.32,37.56,49.0,2016.0,299.0,691.0,288.0,5.5489999999999995,NEAR OCEAN,50.0001,34.526940101617036
190,-118.41,34.17,27.0,3277.0,648.0,1382.0,615.0,3.875,<1H OCEAN,36.61,24.93336500074227
191,-122.67,38.25,32.0,1333.0,235.0,660.0,206.0,4.0729,<1H OCEAN,28.85,22.745267060309345
192,-118.08,34.55,5.0,16181.0,2971.0,8152.0,2651.0,4.5237,INLAND,14.18,18.60772345886183
193,-118.38,34.06,25.0,2558.0,661.0,1183.0,636.0,3.5556,<1H OCEAN,50.0,26.55270054584976
194,-118.25,34.16,14.0,3700.0,945.0,1681.0,905.0,3.9054,<1H OCEAN,20.0,26.521646388906525
195,-117.99,33.83,35.0,1484.0,252.0,916.0,248.0,5.2657,<1H OCEAN,19.14,24.511556998770807
196,-118.44,34.01,42.0,2061.0,396.0,907.0,393.0,6.0804,<1H OCEAN,42.0,34.81171607360673
197,-118.63,34.19,32.0,3568.0,591.0,1741.0,563.0,5.1529,<1H OCEAN,25.96,27.04629618717864
198,-120.46,37.31,35.0,2042.0,378.0,953.0,356.0,2.7344,INLAND,8.780000000000001,12.283375223024116
199,-118.27,33.94,39.0,2078.0,561.0,1901.0,504.0,1.1468,<1H OCEAN,9.69,11.389561317356003
200,-118.48,34.42,21.0,1375.0,259.0,728.0,258.0,5.0166,<1H OCEAN,22.9,24.476459880937664
201,-118.33,33.91,35.0,1092.0,302.0,962.0,297.0,3.5903,<1H OCEAN,18.33,21.266898794660328
202,-120.93,37.66,10.0,7566.0,1348.0,3227.0,1199.0,4.744,INLAND,14.81,19.18965716272119
203,-118.33,34.05,44.0,1574.0,390.0,1323.0,404.0,2.5284,<1H OCEAN,22.63,16.932137523165803
204,-122.35,37.94,47.0,1275.0,275.0,844.0,273.0,2.8967,NEAR BAY,9.56,18.49927365250567
205,-118.31,33.95,43.0,1823.0,358.0,1065.0,342.0,3.2708,<1H OCEAN,13.100000000000001,20.282231786991936
206,-122.03,37.86,29.0,3025.0,477.0,1035.0,452.0,6.112,NEAR BAY,39.06,32.94225076658072
207,-121.37,38.67,36.0,1786.0,338.0,974.0,319.0,2.555,INLAND,7.27,8.857020328257864
208,-117.85,34.06,24.0,3128.0,497.0,1406.0,472.0,7.5286,<1H OCEAN,46.27,33.96265366307692
209,-118.36,33.92,19.0,2807.0,883.0,1546.0,815.0,2.6375,<1H OCEAN,23.38,23.472984023963832
210,-122.23,37.84,47.0,3175.0,454.0,1098.0,485.0,5.2868,NEAR BAY,34.76,31.781118486628735
211,-121.51,38.56,43.0,1048.0,312.0,1320.0,294.0,1.0649,INLAND,13.75,3.082904306253308
212,-118.57,34.21,23.0,4891.0,793.0,2447.0,765.0,5.8798,<1H OCEAN,27.05,28.44723260207924
213,-117.15,34.03,26.0,5305.0,701.0,1818.0,676.0,6.1461,INLAND,21.71,25.23807004912643
214,-118.1,34.05,26.0,1495.0,328.0,1296.0,304.0,2.9130000000000003,<1H OCEAN,15.23,13.802635789276184
215,-118.25,33.94,44.0,1463.0,312.0,940.0,312.0,2.3333,<1H OCEAN,9.98,16.658094023683866
216,-121.79,39.48,39.0,1105.0,180.0,408.0,166.0,3.3929,INLAND,8.21,14.24154387645962
217,-117.79,33.68,9.0,1633.0,295.0,928.0,297.0,5.7858,<1H OCEAN,26.59,25.115516973230473
218,-121.81,37.31,15.0,1794.0,366.0,1533.0,371.0,5.7843,<1H OCEAN,20.99,24.87702554316858
219,-122.28,37.9,52.0,2261.0,328.0,819.0,335.0,4.9083,NEAR BAY,34.68,29.828436148846876
220,-121.29,38.76,12.0,1198.0,174.0,443.0,170.0,6.0097,INLAND,18.75,21.188950283242086
221,-116.97,32.76,26.0,2460.0,313.0,838.0,299.0,5.9878,<1H OCEAN,27.07,30.530025265620427
222,-121.29,38.04,16.0,2128.0,441.0,1860.0,459.0,3.1779,INLAND,9.73,7.810465877304214
223,-117.92,33.98,10.0,16414.0,2919.0,8907.0,2714.0,6.1552,<1H OCEAN,36.25,29.29095684686945
224,-118.32,33.99,43.0,2028.0,479.0,1074.0,394.0,2.5909,<1H OCEAN,9.87,20.167034252023527
225,-118.16,34.07,42.0,3836.0,777.0,2118.0,754.0,3.6364,<1H OCEAN,25.46,22.444672252991896
226,-122.45,37.78,52.0,1345.0,291.0,560.0,294.0,3.7159,NEAR BAY,49.44,29.07806277328252
227,-120.46,37.29,30.0,2972.0,635.0,1940.0,590.0,2.3594,INLAND,7.23,8.672970443874362
228,-119.75,36.77,32.0,1962.0,399.0,1005.0,392.0,2.6726,INLAND,7.040000000000001,11.457882607065033
229,-121.47,38.72,26.0,1708.0,299.0,911.0,290.0,4.0227,INLAND,9.98,13.110235287547864
230,-119.71,36.81,19.0,1648.0,368.0,557.0,354.0,1.7969,INLAND,7.280000000000001,13.896246306716595
231,-118.4,34.07,22.0,2170.0,593.0,850.0,520.0,2.9107,<1H OCEAN,50.0001,26.069982950600085
232,-122.0,38.35,38.0,1918.0,364.0,745.0,348.0,2.5707,INLAND,12.6,16.418208726623646
233,-118.99,35.3,33.0,2248.0,434.0,1461.0,405.0,2.9402,INLAND,5.620000000000003,11.37567379665125
234,-119.33,36.28,16.0,2624.0,527.0,1077.0,520.0,2.125,INLAND,10.42,10.800429046848135
235,-122.28,37.54,24.0,5114.0,1357.0,3169.0,1268.0,3.9699,NEAR OCEAN,29.32,26.68820054541002
236,-119.45,36.6,42.0,510.0,88.0,247.0,99.0,2.5,INLAND,7.300000000000001,10.3225571710032
237,-117.96,33.69,20.0,3123.0,441.0,1319.0,432.0,6.091,<1H OCEAN,29.04,28.87512335632166
238,-117.91,33.76,22.0,7531.0,1569.0,5254.0,1523.0,3.8506,<1H OCEAN,16.74,20.39012186393102
